#time	node			intens	wavel	mask	action	sequence
0.000000000	6	1	5000	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5001	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5002	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5003	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5004	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5005	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5006	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5007	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5008	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5009	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5010	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5011	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5012	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5013	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5014	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5015	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5016	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5017	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5018	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5019	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5020	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5021	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5022	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5023	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5024	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5025	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5026	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5027	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5028	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5029	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5030	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5031	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5032	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5033	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5034	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5035	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5036	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5037	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5038	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5039	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5040	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5041	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5042	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5043	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5044	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5045	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5046	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5047	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5048	-1	0.000000000	0	evclamp	0
0.000000000	6	1	5049	-1	0.000000000	0	evclamp	0
