% Model:              step3_flat_w_validate.mph
% Version:            COMSOL 5.4.0.295
% Date:               Sep 29 2020, 13:09
% Table:              Probe Table 1 - 
% Time (s)                                        Current through Ampère meter 1 (A)
0                                                 0
1.8750000000000003E-6                             3.650841218507668E-7
3.7500000000000005E-6                             4.6744890532061676E-7
7.500000000000001E-6                              5.11747505531322E-7
1.5000000000000002E-5                             5.409847956872013E-7
3.0000000000000004E-5                             5.7316919076495E-7
4.500000000000001E-5                              5.950179335532804E-7
7.500000000000001E-5                              6.216080858629239E-7
1.05E-4                                           6.402302258036919E-7
1.65E-4                                           6.665727949028411E-7
2.25E-4                                           6.885820902424134E-7
2.85E-4                                           7.086798453213588E-7
4.05E-4                                           7.464834274708423E-7
5.25E-4                                           7.817611117308946E-7
7.650000000000001E-4                              8.493231177844831E-7
0.001245                                          9.68301103001313E-7
0.001725                                          1.0630293646254737E-6
0.002205                                          1.1353102159843633E-6
0.002685                                          1.185439962783058E-6
0.003645                                          1.2159577947328456E-6
0.004605                                          1.1789192869764277E-6
0.005565                                          1.0436628438186472E-6
0.0065249999999999996                             8.951043842682382E-7
0.0074849999999999995                             6.203707509343554E-7
0.008445                                          3.302270812874255E-7
0.009309                                          5.7709959179379465E-8
0.010173                                          -2.2186413041537072E-7
0.010763407315512747                              -4.0129935706239274E-7
0.010896248961503116                              -4.269280439112953E-7
0.011029090607493484                              -4.7093145305162817E-7
0.011161932253483853                              -5.10341914706273E-7
0.01142761554546459                               -5.839869423736562E-7
0.011693298837445328                              -6.587351958915148E-7
0.012224665421406801                              -7.958173802122846E-7
0.012687790884266048                              -9.094679679832484E-7
0.013150916347125296                              -1.0116132910249343E-6
0.013614041809984543                              -1.1004051026716857E-6
0.01407716727284379                               -1.1743192541861354E-6
0.014540292735703038                              -1.2325167476476369E-6
0.015003418198562286                              -1.2498705938539177E-6
0.015466543661421533                              -1.274045403448539E-6
0.01592966912428078                               -1.2762950627475136E-6
0.01639279458714003                               -1.261964229588824E-6
0.017319045512858525                              -1.18736949061227E-6
0.01824529643857702                               -1.042560106968745E-6
0.019171547364295514                              -8.409749520509635E-7
0.02009779829001401                               -5.9366310037664E-7
0.021024049215732504                              -3.1563035872380813E-7
0.021950300141451                                 -2.139965213649801E-8
0.022876551067169494                              2.759626149975725E-7
0.02380280199288799                               5.532948870740561E-7
0.024729052918606484                              8.053668462036169E-7
0.02565530384432498                               1.0145534881666786E-6
0.026581554770043474                              1.1634346335719028E-6
0.02750780569576197                               1.250741195110396E-6
0.028434056621480464                              1.2750457276669815E-6
0.02936030754719896                               1.2281512000305154E-6
0.030286558472917453                              1.1160477188222804E-6
0.031212809398635948                              9.408765966852981E-7
0.03213906032435444                               7.134166593300771E-7
0.03306531125007294                               4.519510452024649E-7
0.03399156217579144                               1.6688275348499122E-7
0.03491781310150994                               -1.3151331570680288E-7
0.03584406402722844                               -4.187336500562405E-7
0.036770314952946935                              -6.841865340436739E-7
0.03760394078609358                               -8.946828145970457E-7
0.03843756661924023                               -1.0635133234879158E-6
0.039271192452386874                              -1.1825221939098329E-6
0.04010481828553352                               -1.2578586586766218E-6
0.04093844411868017                               -1.2836883552390154E-6
0.041772069951826814                              -1.2347226628790608E-6
0.04260569578497346                               -1.141013782649493E-6
0.04343932161812011                               -9.995984478654005E-7
0.04427294745126675                               -8.083341638502407E-7
0.04534969345523976                               -5.185004685954336E-7
0.046426439459212765                              -1.8552401170213444E-7
0.04750318546318577                               1.5973652565181998E-7
0.04847225686676148                               4.575435773515716E-7
0.04944132827033719                               7.323923083869301E-7
0.0504103996739129                                9.644960352683891E-7
0.05137947107748861                               1.135815999160779E-6
0.05234854248106432                               1.2413397753900896E-6
0.05331761388464003                               1.2760928133275892E-6
0.05428668528821574                               1.2336678178004626E-6
0.056224828095367156                              9.304911546099748E-7
0.05784946564369511                               5.128372235247738E-7
0.05931163943719026                               5.807074333554923E-8
0.060377479056613996                              -2.751171509753765E-7
0.06144331867603773                               -5.965617398078747E-7
0.06250915829546147                               -8.753685926001991E-7
0.0635749979148852                                -1.0886032163914182E-6
0.06464083753430894                               -1.2257855400798242E-6
0.06570667715373267                               -1.2760699983838833E-6
0.0667725167731564                                -1.2344880476018808E-6
0.06783835639258014                               -1.1082594581328583E-6
0.06890419601200387                               -9.014452184489326E-7
0.0699700356314276                                -6.272028142010938E-7
0.07103587525085134                               -3.126056737109767E-7
0.07210171487027507                               2.6322620023499197E-8
0.0731675544896988                                3.656518065567039E-7
0.07382739746670862                               5.602447850198426E-7
0.07448724044371843                               7.424929999109387E-7
0.07514708342072825                               9.03779970809679E-7
0.07580692639773806                               1.0402075531794907E-6
