% Model,COMSOL_plot_Vext.mph
% Version,COMSOL 5.4.0.295
% Date,"Jul 16 2020, 15:23"
% Dimension,2
% Nodes,40401
% Expressions,1
% Description,Electric potential
% Length unit,m
% R,Z,V (V)
1.6600E-4,0.0000,0.0023350
1.6700E-4,0.0000,0.0023065
1.6800E-4,0.0000,0.0022783
1.6900E-4,0.0000,0.0022505
1.7000E-4,0.0000,0.0022231
1.7100E-4,0.0000,0.0021961
1.7200E-4,0.0000,0.0021696
1.7300E-4,0.0000,0.0021433
1.7400E-4,0.0000,0.0021175
1.7500E-4,0.0000,0.0020921
1.7600E-4,0.0000,0.0020671
1.7700E-4,0.0000,0.0020424
1.7800E-4,0.0000,0.0020182
1.7900E-4,0.0000,0.0019943
1.8000E-4,0.0000,0.0019709
1.8100E-4,0.0000,0.0019477
1.8200E-4,0.0000,0.0019249
1.8300E-4,0.0000,0.0019023
1.8400E-4,0.0000,0.0018800
1.8500E-4,0.0000,0.0018580
1.8600E-4,0.0000,0.0018363
1.8700E-4,0.0000,0.0018148
1.8800E-4,0.0000,0.0017937
1.8900E-4,0.0000,0.0017729
1.9000E-4,0.0000,0.0017523
1.9100E-4,0.0000,0.0017320
1.9200E-4,0.0000,0.0017120
1.9300E-4,0.0000,0.0016923
1.9400E-4,0.0000,0.0016729
1.9500E-4,0.0000,0.0016538
1.9600E-4,0.0000,0.0016350
1.9700E-4,0.0000,0.0016164
1.9800E-4,0.0000,0.0015982
1.9900E-4,0.0000,0.0015802
2.0000E-4,0.0000,0.0015625
0.0000,1.0000E-6,0.11599
1.0000E-6,1.0000E-6,0.11585
2.0000E-6,1.0000E-6,0.11542
3.0000E-6,1.0000E-6,0.11470
4.0000E-6,1.0000E-6,0.11369
5.0000E-6,1.0000E-6,0.11237
6.0000E-6,1.0000E-6,0.11073
7.0000E-6,1.0000E-6,0.10874
8.0000E-6,1.0000E-6,0.10639
9.0000E-6,1.0000E-6,0.10362
1.0000E-5,1.0000E-6,0.10041
1.1000E-5,1.0000E-6,0.096675
1.2000E-5,1.0000E-6,0.092198
1.3000E-5,1.0000E-6,0.087289
1.4000E-5,1.0000E-6,0.080980
1.5000E-5,1.0000E-6,0.073594
1.6000E-5,1.0000E-6,0.066374
1.7000E-5,1.0000E-6,0.060332
1.8000E-5,1.0000E-6,0.055811
1.9000E-5,1.0000E-6,0.051728
2.0000E-5,1.0000E-6,0.048303
2.1000E-5,1.0000E-6,0.045344
2.2000E-5,1.0000E-6,0.042710
2.3000E-5,1.0000E-6,0.040374
2.4000E-5,1.0000E-6,0.038284
2.5000E-5,1.0000E-6,0.036388
2.6000E-5,1.0000E-6,0.034667
2.7000E-5,1.0000E-6,0.033097
2.8000E-5,1.0000E-6,0.031652
2.9000E-5,1.0000E-6,0.030322
3.0000E-5,1.0000E-6,0.029092
3.1000E-5,1.0000E-6,0.027950
3.2000E-5,1.0000E-6,0.026886
3.3000E-5,1.0000E-6,0.025895
3.4000E-5,1.0000E-6,0.024966
3.5000E-5,1.0000E-6,0.024095
3.6000E-5,1.0000E-6,0.023276
3.7000E-5,1.0000E-6,0.022505
3.8000E-5,1.0000E-6,0.021778
3.9000E-5,1.0000E-6,0.021090
4.0000E-5,1.0000E-6,0.020439
4.1000E-5,1.0000E-6,0.019822
4.2000E-5,1.0000E-6,0.019236
4.3000E-5,1.0000E-6,0.018679
4.4000E-5,1.0000E-6,0.018148
4.5000E-5,1.0000E-6,0.017643
4.6000E-5,1.0000E-6,0.017160
4.7000E-5,1.0000E-6,0.016699
4.8000E-5,1.0000E-6,0.016259
4.9000E-5,1.0000E-6,0.015837
5.0000E-5,1.0000E-6,0.015432
5.1000E-5,1.0000E-6,0.015045
5.2000E-5,1.0000E-6,0.014672
5.3000E-5,1.0000E-6,0.014315
5.4000E-5,1.0000E-6,0.013971
5.5000E-5,1.0000E-6,0.013640
5.6000E-5,1.0000E-6,0.013322
5.7000E-5,1.0000E-6,0.013015
5.8000E-5,1.0000E-6,0.012720
5.9000E-5,1.0000E-6,0.012434
6.0000E-5,1.0000E-6,0.012159
6.1000E-5,1.0000E-6,0.011893
6.2000E-5,1.0000E-6,0.011636
6.3000E-5,1.0000E-6,0.011388
6.4000E-5,1.0000E-6,0.011147
6.5000E-5,1.0000E-6,0.010914
6.6000E-5,1.0000E-6,0.010689
6.7000E-5,1.0000E-6,0.010471
6.8000E-5,1.0000E-6,0.010259
6.9000E-5,1.0000E-6,0.010054
7.0000E-5,1.0000E-6,0.0098545
7.1000E-5,1.0000E-6,0.0096612
7.2000E-5,1.0000E-6,0.0094735
7.3000E-5,1.0000E-6,0.0092912
7.4000E-5,1.0000E-6,0.0091141
7.5000E-5,1.0000E-6,0.0089419
7.6000E-5,1.0000E-6,0.0087744
7.7000E-5,1.0000E-6,0.0086115
7.8000E-5,1.0000E-6,0.0084530
7.9000E-5,1.0000E-6,0.0082987
8.0000E-5,1.0000E-6,0.0081484
8.1000E-5,1.0000E-6,0.0080021
8.2000E-5,1.0000E-6,0.0078595
8.3000E-5,1.0000E-6,0.0077205
8.4000E-5,1.0000E-6,0.0075851
8.5000E-5,1.0000E-6,0.0074530
8.6000E-5,1.0000E-6,0.0073241
8.7000E-5,1.0000E-6,0.0071984
8.8000E-5,1.0000E-6,0.0070757
8.9000E-5,1.0000E-6,0.0069559
9.0000E-5,1.0000E-6,0.0068390
9.1000E-5,1.0000E-6,0.0067248
9.2000E-5,1.0000E-6,0.0066132
9.3000E-5,1.0000E-6,0.0065042
9.4000E-5,1.0000E-6,0.0063977
9.5000E-5,1.0000E-6,0.0062936
9.6000E-5,1.0000E-6,0.0061918
9.7000E-5,1.0000E-6,0.0060922
9.8000E-5,1.0000E-6,0.0059949
9.9000E-5,1.0000E-6,0.0058996
1.0000E-4,1.0000E-6,0.0058064
1.0100E-4,1.0000E-6,0.0057152
1.0200E-4,1.0000E-6,0.0056260
1.0300E-4,1.0000E-6,0.0055386
1.0400E-4,1.0000E-6,0.0054530
1.0500E-4,1.0000E-6,0.0053692
1.0600E-4,1.0000E-6,0.0052871
1.0700E-4,1.0000E-6,0.0052067
1.0800E-4,1.0000E-6,0.0051279
1.0900E-4,1.0000E-6,0.0050507
1.1000E-4,1.0000E-6,0.0049751
1.1100E-4,1.0000E-6,0.0049009
1.1200E-4,1.0000E-6,0.0048282
1.1300E-4,1.0000E-6,0.0047569
1.1400E-4,1.0000E-6,0.0046870
1.1500E-4,1.0000E-6,0.0046184
1.1600E-4,1.0000E-6,0.0045511
1.1700E-4,1.0000E-6,0.0044852
1.1800E-4,1.0000E-6,0.0044204
1.1900E-4,1.0000E-6,0.0043569
1.2000E-4,1.0000E-6,0.0042946
1.2100E-4,1.0000E-6,0.0042333
1.2200E-4,1.0000E-6,0.0041733
1.2300E-4,1.0000E-6,0.0041143
1.2400E-4,1.0000E-6,0.0040564
1.2500E-4,1.0000E-6,0.0039996
1.2600E-4,1.0000E-6,0.0039437
1.2700E-4,1.0000E-6,0.0038889
1.2800E-4,1.0000E-6,0.0038350
1.2900E-4,1.0000E-6,0.0037821
1.3000E-4,1.0000E-6,0.0037301
1.3100E-4,1.0000E-6,0.0036790
1.3200E-4,1.0000E-6,0.0036289
1.3300E-4,1.0000E-6,0.0035795
1.3400E-4,1.0000E-6,0.0035311
1.3500E-4,1.0000E-6,0.0034834
1.3600E-4,1.0000E-6,0.0034365
1.3700E-4,1.0000E-6,0.0033904
1.3800E-4,1.0000E-6,0.0033452
1.3900E-4,1.0000E-6,0.0033007
1.4000E-4,1.0000E-6,0.0032568
1.4100E-4,1.0000E-6,0.0032139
1.4200E-4,1.0000E-6,0.0031716
1.4300E-4,1.0000E-6,0.0031299
1.4400E-4,1.0000E-6,0.0030889
1.4500E-4,1.0000E-6,0.0030486
1.4600E-4,1.0000E-6,0.0030089
1.4700E-4,1.0000E-6,0.0029698
1.4800E-4,1.0000E-6,0.0029315
1.4900E-4,1.0000E-6,0.0028937
1.5000E-4,1.0000E-6,0.0028566
1.5100E-4,1.0000E-6,0.0028200
1.5200E-4,1.0000E-6,0.0027841
1.5300E-4,1.0000E-6,0.0027487
1.5400E-4,1.0000E-6,0.0027138
1.5500E-4,1.0000E-6,0.0026794
1.5600E-4,1.0000E-6,0.0026456
1.5700E-4,1.0000E-6,0.0026122
1.5800E-4,1.0000E-6,0.0025794
1.5900E-4,1.0000E-6,0.0025471
1.6000E-4,1.0000E-6,0.0025153
1.6100E-4,1.0000E-6,0.0024841
1.6200E-4,1.0000E-6,0.0024533
1.6300E-4,1.0000E-6,0.0024230
1.6400E-4,1.0000E-6,0.0023930
1.6500E-4,1.0000E-6,0.0023637
1.6600E-4,1.0000E-6,0.0023348
1.6700E-4,1.0000E-6,0.0023062
1.6800E-4,1.0000E-6,0.0022781
1.6900E-4,1.0000E-6,0.0022503
1.7000E-4,1.0000E-6,0.0022230
1.7100E-4,1.0000E-6,0.0021960
1.7200E-4,1.0000E-6,0.0021694
1.7300E-4,1.0000E-6,0.0021432
1.7400E-4,1.0000E-6,0.0021174
1.7500E-4,1.0000E-6,0.0020920
1.7600E-4,1.0000E-6,0.0020670
1.7700E-4,1.0000E-6,0.0020424
1.7800E-4,1.0000E-6,0.0020182
1.7900E-4,1.0000E-6,0.0019943
1.8000E-4,1.0000E-6,0.0019706
1.8100E-4,1.0000E-6,0.0019475
1.8200E-4,1.0000E-6,0.0019246
1.8300E-4,1.0000E-6,0.0019021
1.8400E-4,1.0000E-6,0.0018798
1.8500E-4,1.0000E-6,0.0018578
1.8600E-4,1.0000E-6,0.0018361
1.8700E-4,1.0000E-6,0.0018147
1.8800E-4,1.0000E-6,0.0017936
1.8900E-4,1.0000E-6,0.0017727
1.9000E-4,1.0000E-6,0.0017522
1.9100E-4,1.0000E-6,0.0017319
1.9200E-4,1.0000E-6,0.0017120
1.9300E-4,1.0000E-6,0.0016923
1.9400E-4,1.0000E-6,0.0016729
1.9500E-4,1.0000E-6,0.0016538
1.9600E-4,1.0000E-6,0.0016350
1.9700E-4,1.0000E-6,0.0016165
1.9800E-4,1.0000E-6,0.0015982
1.9900E-4,1.0000E-6,0.0015802
2.0000E-4,1.0000E-6,0.0015623
0.0000,2.0000E-6,0.10828
1.0000E-6,2.0000E-6,0.10814
2.0000E-6,2.0000E-6,0.10772
3.0000E-6,2.0000E-6,0.10702
4.0000E-6,2.0000E-6,0.10603
5.0000E-6,2.0000E-6,0.10473
6.0000E-6,2.0000E-6,0.10313
7.0000E-6,2.0000E-6,0.10121
8.0000E-6,2.0000E-6,0.098910
9.0000E-6,2.0000E-6,0.096240
1.0000E-5,2.0000E-6,0.093161
1.1000E-5,2.0000E-6,0.089557
1.2000E-5,2.0000E-6,0.085433
1.3000E-5,2.0000E-6,0.080826
1.4000E-5,2.0000E-6,0.075629
1.5000E-5,2.0000E-6,0.069902
1.6000E-5,2.0000E-6,0.064272
1.7000E-5,2.0000E-6,0.059293
1.8000E-5,2.0000E-6,0.054997
1.9000E-5,2.0000E-6,0.051197
2.0000E-5,2.0000E-6,0.047887
2.1000E-5,2.0000E-6,0.045013
2.2000E-5,2.0000E-6,0.042450
2.3000E-5,2.0000E-6,0.040162
2.4000E-5,2.0000E-6,0.038106
2.5000E-5,2.0000E-6,0.036239
2.6000E-5,2.0000E-6,0.034541
2.7000E-5,2.0000E-6,0.032987
2.8000E-5,2.0000E-6,0.031557
2.9000E-5,2.0000E-6,0.030239
3.0000E-5,2.0000E-6,0.029019
3.1000E-5,2.0000E-6,0.027885
3.2000E-5,2.0000E-6,0.026829
3.3000E-5,2.0000E-6,0.025843
3.4000E-5,2.0000E-6,0.024919
3.5000E-5,2.0000E-6,0.024053
3.6000E-5,2.0000E-6,0.023238
3.7000E-5,2.0000E-6,0.022470
3.8000E-5,2.0000E-6,0.021746
3.9000E-5,2.0000E-6,0.021061
4.0000E-5,2.0000E-6,0.020413
4.1000E-5,2.0000E-6,0.019798
4.2000E-5,2.0000E-6,0.019213
4.3000E-5,2.0000E-6,0.018658
4.4000E-5,2.0000E-6,0.018129
4.5000E-5,2.0000E-6,0.017625
4.6000E-5,2.0000E-6,0.017143
4.7000E-5,2.0000E-6,0.016684
4.8000E-5,2.0000E-6,0.016244
4.9000E-5,2.0000E-6,0.015823
5.0000E-5,2.0000E-6,0.015419
5.1000E-5,2.0000E-6,0.015032
5.2000E-5,2.0000E-6,0.014661
