Time,I6
0.0,7.502179857025822e-10
3.99800099950025e-05,4.023278860973071e-09
7.9960019990005e-05,7.296524506268929e-09
0.0001199400299850075,1.056981602380568e-08
0.00015992003998001,1.3843014094608814e-08
0.0001999000499750125,1.7115978812776154e-08
0.000239880059970015,2.0388569892414223e-08
0.0002798600699650175,2.3660646119456976e-08
0.00031984007996002,2.6932064145308383e-08
0.0003598200899550225,3.0202677770086286e-08
0.000399800099950025,3.3472338381302316e-08
0.0004397801099450275,3.6740896094661164e-08
0.00047976011994003,4.000820074991062e-08
0.0005197401299350324,4.3274102415249565e-08
0.000559720139930035,4.6538451620209115e-08
0.0005997001499250375,4.98010993443933e-08
0.00063968015992004,5.3061896750959415e-08
0.0006796601699150424,5.6320694936922314e-08
0.000719640179910045,5.9577344396021726e-08
0.0007596201899050475,6.283169433084542e-08
0.00079960019990005,6.608359293714641e-08
0.0008395802098950524,6.933288850266464e-08
0.000879560219890055,7.25794302361402e-08
0.0009195402298850575,7.582306827134968e-08
0.00095952023988006,7.906365273195021e-08
0.0009995002498750624,8.230103289933178e-08
0.0010394802598700649,8.553505759026846e-08
0.0010794602698650675,8.876557583767926e-08
0.00111944027986007,9.199243652933968e-08
0.0011594202898550724,9.521548773248796e-08
0.001199400299850075,9.843457702227819e-08
0.0012393803098450775,1.0164955221667958e-07
0.00127936031984008,1.0486026155399533e-07
0.0013193403298350824,1.0806655355154908e-07
0.0013593203398300849,1.1126827665863254e-07
0.0013993003498250875,1.144652789087246e-07
0.00143928035982009,1.1765740820452483e-07
0.0014792603698150924,1.2084451264833765e-07
0.001519240379810095,1.2402643997385464e-07
0.0015592203898050975,1.272030369215545e-07
0.0015992003998001,1.3037414975394512e-07
0.0016391804097951024,1.335396251530137e-07
0.0016791604197901049,1.3669931017832824e-07
0.0017191404297851075,1.3985305191933306e-07
0.00175912043978011,1.430006980579373e-07
0.0017991004497751124,1.4614209780734468e-07
0.001839080459770115,1.4927710225708699e-07
0.0018790604697651175,1.5240556390694986e-07
0.00191904047976012,1.5552733547928278e-07
0.0019590204897551224,1.5864226888296453e-07
0.001999000499750125,1.617502151960839e-07
0.0020389805097451273,1.6485102500907012e-07
0.0020789605197401298,1.6794454830604654e-07
0.0021189405297351326,1.7103063443348562e-07
0.002158920539730135,1.7410913250277646e-07
0.0021989005497251375,1.7717989142808066e-07
0.00223888055972014,1.8024275944923894e-07
0.0022788605697151424,1.83297583980706e-07
0.002318840579710145,1.8634421198034488e-07
0.0023588205897051473,1.8938249036613502e-07
0.00239880059970015,1.9241226652805532e-07
0.0024387806096951526,1.9543338935628242e-07
