comp 1 nodes 1 nodes_to_comp [(0,1,0);] xloc 0     yloc 0     zloc 30    dia 5.46  Cm 9.37e-13 Rm 2.48e-11
comp 2 nodes 1 nodes_to_comp [] xloc 0     yloc 0     zloc 22.5  dia 2.5   Cm 1.96e-13 Rm 5.17e-12
comp 3 nodes 1 nodes_to_comp [(0,1,1);] xloc 0     yloc 0     zloc 15    dia 6.3   Cm 1.25e-12 Rm 3.3e-11
conn c1 2 c2 1 nod 0 Ri 4.69e+06
conn c1 3 c2 2 nod 66788800 Ri 4.69e+06
conn c1 4 c2 6 nod 66788880 Ri 1.78e+06
conn c1 6 c2 8 nod 66789040 Ri 7.67e+06
conn c1 8 c2 13 nod 66789200 Ri 4.47e+06
conn c1 13 c2 16 nod 69099744 Ri 4.89e+06
conn c1 16 c2 21 nod 69099984 Ri 7.42e+06
conn c1 21 c2 25 nod 69100384 Ri 7.37e+06
conn c1 25 c2 29 nod 69100704 Ri 8.8e+06
conn c1 29 c2 33 nod 69101024 Ri 1.12e+07
conn c1 33 c2 37 nod 69101344 Ri 1.19e+07
conn c1 37 c2 42 nod 69101760 Ri 2.86e+07
conn c1 42 c2 51 nod 69102528 Ri 5.18e+07
conn c1 51 c2 63 nod 69103968 Ri 2.35e+07
conn c1 63 c2 72 nod 69105888 Ri 2.84e+07
conn c1 72 c2 82 nod 69107328 Ri 3.31e+07
conn c1 82 c2 98 nod 69280960 Ri 3.02e+07
conn c1 82 c2 107 nod 69280960 Ri 6.82e+07
conn c1 72 c2 129 nod 69107328 Ri 4.83e+07
conn c1 63 c2 150 nod 69105888 Ri 2.84e+07
conn c1 150 c2 155 nod 69472064 Ri 3.46e+07
conn c1 63 c2 172 nod 69105888 Ri 8.18e+07
conn c1 172 c2 178 nod 69475584 Ri 1.16e+08
conn c1 178 c2 185 nod 69681344 Ri 8.26e+07
conn c1 185 c2 191 nod 69682464 Ri 7.36e+07
conn c1 191 c2 193 nod 69683424 Ri 5.15e+07
conn c1 193 c2 198 nod 69683744 Ri 8.52e+07
conn c1 178 c2 220 nod 69681344 Ri 1.16e+08
conn c1 220 c2 227 nod 69688064 Ri 8.8e+07
conn c1 42 c2 411 nod 69102528 Ri 2.45e+07
conn c1 411 c2 246 nod 70488672 Ri 3.79e+07
conn c1 246 c2 253 nod 69888832 Ri 4.45e+07
conn c1 253 c2 256 nod 69889952 Ri 4.65e+07
conn c1 256 c2 263 nod 69890432 Ri 4e+07
conn c1 263 c2 272 nod 69891552 Ri 3.1e+07
conn c1 272 c2 281 nod 69892992 Ri 2.55e+07
conn c1 281 c2 287 nod 70082848 Ri 4.5e+07
conn c1 281 c2 302 nod 70082848 Ri 1.08e+08
